,city,lat,lng,climate,new_lat,new_long
0,Sydney,-33.865,151.2094,Cfa,-33.86882,151.209296
1,Melbourne,-37.8136,144.9631,Cfb,-37.813628,144.963058
2,Brisbane,-27.4678,153.0281,Cfa,-27.469771,153.025124
3,Perth,-31.9522,115.8589,Csa,-31.952312,115.861309
4,Adelaide,-34.9275,138.6,Csa,-34.928499,138.600746
5,Canberra,-35.2931,149.1269,Cfb,-35.280937,149.130009
6,Wollongong,-34.4331,150.8831,Cfb,-34.424834,150.893113
7,Hobart,-42.8806,147.325,Cfb,-42.882605,147.32572
8,Townsville,-19.25,146.8167,Aw,-19.258964,146.816948
9,Newcastle,-32.9167,151.75,Cfa,-32.928271,151.78168
10,Cairns,-16.92,145.78,Am,-16.920348,145.770953
11,Darwin,-12.4381,130.8411,Aw,-12.46344,130.845642
12,Launceston,-41.4419,147.145,Cfb,-41.439068,147.135767
13,Ballarat,-37.5608,143.8475,Cfb,-37.562159,143.850256
14,Bendigo,-36.75,144.2667,Cfb,-36.75962,144.278576
15,Mildura,-34.1889,142.1583,BSk,-34.206886,142.136685
16,Albany,-35.0228,117.8814,Csb,-35.026815,117.883711
17,Penrith,-33.7511,150.6942,Cfa,-33.750676,150.687674
18,Sale,-38.1,147.0667,Cfb,-38.105114,147.068048
19,Moree,-29.465,149.8344,Cfa,-29.465303,149.841568
20,Portland,-38.3333,141.6,Csb,-38.338017,141.604133
21,Nuriootpa,-34.4667,138.9833,Csb,-34.473034,138.995687
22,Albury,-36.0806,146.9158,Cfa,-36.075119,146.909485
23,Richmond,-33.5983,150.7511,Cfa,-37.823894,144.998267
25,Katherine,-14.4667,132.2667,Aw,-14.451968,132.269862
26,Woomera,-31.1496,136.8,BWh,-31.198834,136.825066
27,AliceSprings,-23.7,133.8667,BWh,-23.698042,133.880747
28,BadgerysCreek,-33.8835,150.7414,Cfa,-33.875098,150.763432
29,Cobar,-31.4991,145.8461,BSh,-31.497762,145.836299
30,CoffsHarbour,-30.2963,153.1139,Cfa,-30.296201,153.113892
31,Dartmoor,-37.9246,141.2705,Csb,-37.922441,141.275423
32,GoldCoast,-28.0022,153.4263,Cfa,-28.016667,153.4
33,MelbourneAirport,-37.6738,144.8422,Cfb,-37.672951,144.851971
34,MountGambier,-37.8284,140.7807,Csb,-37.828441,140.780676
35,MountGinini,-35.5298,148.7714,Cfb,-35.529384,148.772279
36,Nhil,-36.3372,141.6459,Cfb,-36.33278,141.650341
37,NorahHead,-33.2741,151.5613,Cfa,-33.282178,151.566944
38,NorfolkIsland,-29.0372,167.9529,Cfb,-29.040835,167.954712
39,PearceRAAF,-35.3627,149.0831,Cfb,-31.667584,116.029243
40,PerthAirport,-31.9387,115.968,Csa,-31.94861,115.972415
41,SalmonGums,-32.9802,121.6426,BSk,-32.980419,121.645607
42,SydneyAirport,-33.9459,151.1816,Cfa,-33.950034,151.181912
43,Tuggeranong,-35.5722,149.134,Cfb,-35.4244,149.0888
44,Uluru,-25.3443,131.0322,BSh,-25.344428,131.036882
45,WaggaWagga,-35.1171,147.3568,Cfa,-35.102598,147.36551
46,Walpole,-34.9756,116.7351,Csb,-34.976184,116.73135
47,Watsonia,-37.7086,145.0831,Cfb,-37.710137,145.08284
48,Williamtown,-32.8046,151.8508,Cfa,-32.811504,151.844267
49,Witchcliffe,-34.0253,115.1,Csb,-34.026171,115.100233
